"0:0:0_0:0:0";"4/3"
"1:1:1_0:0:0";"0"
"0:1:1_0:0:0";"2/15"
"1:0:1_0:0:0";"-4/15"
"1:1:0_0:0:0";"2/15"
"0:0:1_0:0:0";"-2/3"
"0:1:0_0:0:0";"0"
"1:0:0_0:0:0";"2/3"
"2:2:2_0:0:0";"0"
"0:2:2_0:0:0";"2/105"
"1:2:2_0:0:0";"0"
"2:0:2_0:0:0";"-4/105"
"2:1:2_0:0:0";"0"
"2:2:0_0:0:0";"2/105"
"2:2:1_0:0:0";"0"
"0:0:2_0:0:0";"2/15"
"0:1:2_0:0:0";"-2/15"
"1:0:2_0:0:0";"0"
"1:1:2_0:0:0";"-4/105"
"0:2:0_0:0:0";"-4/15"
"0:2:1_0:0:0";"2/15"
"1:2:0_0:0:0";"-2/15"
"1:2:1_0:0:0";"8/105"
"2:0:0_0:0:0";"2/15"
"2:0:1_0:0:0";"0"
"2:1:0_0:0:0";"2/15"
"2:1:1_0:0:0";"-4/105"
"3:3:3_0:0:0";"0"
"0:3:3_0:0:0";"2/315"
"1:3:3_0:0:0";"0"
"2:3:3_0:0:0";"-2/3465"
"3:0:3_0:0:0";"-4/315"
"3:1:3_0:0:0";"0"
"3:2:3_0:0:0";"4/3465"
"3:3:0_0:0:0";"2/315"
"3:3:1_0:0:0";"0"
"3:3:2_0:0:0";"-2/3465"
"0:0:3_0:0:0";"0"
"0:1:3_0:0:0";"4/105"
"0:2:3_0:0:0";"-2/35"
"1:0:3_0:0:0";"2/105"
"1:1:3_0:0:0";"0"
"1:2:3_0:0:0";"-2/105"
"2:0:3_0:0:0";"0"
"2:1:3_0:0:0";"-2/315"
"2:2:3_0:0:0";"0"
"0:3:0_0:0:0";"0"
"0:3:1_0:0:0";"-2/35"
"0:3:2_0:0:0";"2/35"
"1:3:0_0:0:0";"-2/35"
"1:3:1_0:0:0";"0"
"1:3:2_0:0:0";"8/315"
"2:3:0_0:0:0";"-2/35"
"2:3:1_0:0:0";"8/315"
"2:3:2_0:0:0";"0"
"3:0:0_0:0:0";"0"
"3:0:1_0:0:0";"2/105"
"3:0:2_0:0:0";"0"
"3:1:0_0:0:0";"4/105"
"3:1:1_0:0:0";"0"
"3:1:2_0:0:0";"-2/315"
"3:2:0_0:0:0";"2/35"
"3:2:1_0:0:0";"-2/105"
"3:2:2_0:0:0";"0"
"4:4:4_0:0:0";"0"
"0:4:4_0:0:0";"2/693"
"1:4:4_0:0:0";"0"
"2:4:4_0:0:0";"-2/6435"
"3:4:4_0:0:0";"0"
"4:0:4_0:0:0";"-4/693"
"4:1:4_0:0:0";"0"
"4:2:4_0:0:0";"4/6435"
"4:3:4_0:0:0";"0"
"4:4:0_0:0:0";"2/693"
"4:4:1_0:0:0";"0"
"4:4:2_0:0:0";"-2/6435"
"4:4:3_0:0:0";"0"
"0:0:4_0:0:0";"0"
"0:1:4_0:0:0";"0"
"0:2:4_0:0:0";"2/105"
"0:3:4_0:0:0";"-2/63"
"1:0:4_0:0:0";"0"
"1:1:4_0:0:0";"2/315"
"1:2:4_0:0:0";"0"
"1:3:4_0:0:0";"-38/3465"
"2:0:4_0:0:0";"2/315"
"2:1:4_0:0:0";"0"
"2:2:4_0:0:0";"-2/495"
"2:3:4_0:0:0";"0"
"3:0:4_0:0:0";"0"
"3:1:4_0:0:0";"-8/3465"
"3:2:4_0:0:0";"0"
"3:3:4_0:0:0";"16/45045"
"0:4:0_0:0:0";"0"
"0:4:1_0:0:0";"0"
"0:4:2_0:0:0";"-8/315"
"0:4:3_0:0:0";"2/63"
"1:4:0_0:0:0";"0"
"1:4:1_0:0:0";"-4/315"
"1:4:2_0:0:0";"0"
"1:4:3_0:0:0";"46/3465"
"2:4:0_0:0:0";"-8/315"
"2:4:1_0:0:0";"0"
"2:4:2_0:0:0";"4/495"
"2:4:3_0:0:0";"0"
"3:4:0_0:0:0";"-2/63"
"3:4:1_0:0:0";"46/3465"
"3:4:2_0:0:0";"0"
